,Link,Preco,Localizacao,Area_Util_m2,Quartos,Suites,Vagas_Garagem
0,https://www.dfimoveis.com.br/imovel/lancamento-azzure-220532,4510049.0,BRASÍLIA - NOROESTE,238,4.0,4.0,2.0
1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-402-1229823,1400000.0,BRASÍLIA - ASA NORTE,141,2.0,,2.0
2,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-sudoeste-brasilia-df-sqsw-303-bloco-j-1230435,1529000.0,BRASÍLIA - SUDOESTE,79,2.0,2.0,1.0
3,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-noroeste-brasilia-df-sqnw-307-bloco-a-773677,1395000.0,BRASÍLIA - NOROESTE,85,2.0,2.0,2.0
4,https://www.dfimoveis.com.br/imovel/lancamento-apto-4-suites--parque-das-gardenias-990274,,BRASÍLIA - NOROESTE,165,4.0,4.0,3.0
5,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sudoeste-brasilia-df-sqsw-500-bloco-h-1190245,3580000.0,BRASÍLIA - SUDOESTE,186,4.0,4.0,3.0
6,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-211-1220799,1500000.0,BRASÍLIA - ASA NORTE,74,2.0,1.0,2.0
7,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-211-1179589,1390000.0,BRASÍLIA - ASA NORTE,73,2.0,1.0,2.0
8,https://www.dfimoveis.com.br/imovel/lancamento-cobertura--parque-das-figueiras-343282,,BRASÍLIA - NOROESTE,208,3.0,,
9,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-303-1220202,1430000.0,BRASÍLIA - ASA NORTE,100,3.0,1.0,1.0
10,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-noroeste-brasilia-df-sqnw-307-1220203,2600000.0,BRASÍLIA - NOROESTE,155,3.0,3.0,3.0
11,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-sudoeste-brasilia-df-sqsw-303-1205178,1420000.0,BRASÍLIA - SUDOESTE,97,3.0,1.0,1.0
12,https://www.dfimoveis.com.br/imovel/lancamento-jardins-residence-mansoes-suspensas-1164419,,BRASÍLIA - LAGO NORTE,90,3.0,2.0,1.0
13,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-212-1217676,1120000.0,BRASÍLIA - ASA NORTE,75,2.0,,1.0
14,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-noroeste-brasilia-df-sqnw-309-bloco-b-1188474,1240000.0,BRASÍLIA - NOROESTE,83,2.0,1.0,2.0
15,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-104-1216173,1690000.0,BRASÍLIA - ASA NORTE,112,3.0,1.0,1.0
16,https://www.dfimoveis.com.br/imovel/lancamento-residencial-nivio-goncalves-389290,1207611.0,BRASÍLIA - NOROESTE,74,2.0,1.0,2.0
17,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-111-1216596,1690000.0,BRASÍLIA - ASA NORTE,135,3.0,1.0,1.0
18,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-noroeste-brasilia-df-sqnw-311-bloco-d-1205216,850000.0,BRASÍLIA - NOROESTE,48,1.0,,1.0
19,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-noroeste-brasilia-df-sqnw-304-bloco-d-1213088,2280000.0,BRASÍLIA - NOROESTE,114,3.0,1.0,2.0
20,https://www.dfimoveis.com.br/imovel/lancamento-apartamento-2-quartos-na-quadra-500-1201797,,BRASÍLIA - SUDOESTE,82,2.0,1.0,2.0
21,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-sul-brasilia-df-sqs-210-1211766,1100000.0,BRASÍLIA - ASA SUL,76,2.0,,1.0
22,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-sul-brasilia-df-sqs-309-1211123,3200000.0,BRASÍLIA - ASA SUL,211,4.0,1.0,2.0
23,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-207-1199203,2500000.0,BRASÍLIA - ASA SUL,170,3.0,1.0,1.0
