localizacao,area_util,quartos,suites,qntd_vagas,preco
BRASÍLIA - NOROESTE,238,4.0,4.0,2.0,4510049.0
BRASÍLIA - ASA NORTE,141,2.0,1.0,2.0,1400000.0
BRASÍLIA - SUDOESTE,79,2.0,2.0,1.0,1529000.0
BRASÍLIA - NOROESTE,85,2.0,2.0,2.0,1395000.0
BRASÍLIA - SUDOESTE,186,4.0,4.0,3.0,3580000.0
BRASÍLIA - ASA NORTE,74,2.0,1.0,2.0,1500000.0
BRASÍLIA - ASA NORTE,73,2.0,1.0,2.0,1390000.0
BRASÍLIA - ASA NORTE,100,3.0,1.0,1.0,1430000.0
BRASÍLIA - NOROESTE,155,3.0,3.0,3.0,2600000.0
BRASÍLIA - SUDOESTE,97,3.0,1.0,1.0,1420000.0
BRASÍLIA - ASA NORTE,75,2.0,1.0,1.0,1120000.0
BRASÍLIA - NOROESTE,83,2.0,1.0,2.0,1240000.0
BRASÍLIA - ASA NORTE,112,3.0,1.0,1.0,1690000.0
BRASÍLIA - NOROESTE,74,2.0,1.0,2.0,1207611.0
BRASÍLIA - ASA NORTE,135,3.0,1.0,1.0,1690000.0
BRASÍLIA - NOROESTE,48,1.0,3.0,1.0,850000.0
BRASÍLIA - NOROESTE,114,3.0,1.0,2.0,2280000.0
BRASÍLIA - ASA SUL,76,2.0,1.0,1.0,1100000.0
BRASÍLIA - ASA SUL,211,4.0,1.0,2.0,3200000.0
BRASÍLIA - ASA SUL,170,3.0,1.0,1.0,2500000.0
BRASÍLIA - NOROESTE,126,3.0,3.0,2.0,2060000.0
BRASÍLIA - ASA NORTE,126,3.0,1.0,1.0,1600000.0
BRASÍLIA - NOROESTE,124,3.0,3.0,2.0,2200000.0
BRASÍLIA - NOROESTE,153,4.0,4.0,3.0,2871998.0
BRASÍLIA - NOROESTE,141,3.0,3.0,2.0,2480000.0
BRASÍLIA - ASA NORTE,94,3.0,1.0,1.0,1420000.0
BRASÍLIA - NOROESTE,84,2.0,1.0,2.0,1240000.0
BRASÍLIA - ASA NORTE,130,3.0,1.0,2.0,1750000.0
BRASÍLIA - SUDOESTE,244,4.0,2.0,3.0,3190000.0
BRASÍLIA - NOROESTE,208,4.0,4.0,4.0,3150000.0
BRASÍLIA - SUDOESTE,216,4.0,4.0,2.0,2750000.0
BRASÍLIA - NOROESTE,169,2.0,1.0,3.0,2450000.0
BRASÍLIA - ASA NORTE,141,2.0,1.0,2.0,1400000.0
BRASÍLIA - SUDOESTE,241,4.0,4.0,4.0,5700000.0
BRASÍLIA - NOROESTE,70,2.0,1.0,1.0,1320000.0
BRASÍLIA - NOROESTE,404,4.0,4.0,4.0,5850000.0
BRASÍLIA - ASA SUL,86,3.0,1.0,1.0,860000.0
BRASÍLIA - NOROESTE,343,4.0,4.0,4.0,5172142.0
BRASÍLIA - ASA SUL,210,4.0,2.0,2.0,3100000.0
BRASÍLIA - SUDOESTE,145,4.0,2.0,2.0,1920000.0
BRASÍLIA - NOROESTE,97,1.0,1.0,2.0,1595000.0
BRASÍLIA - ASA NORTE,673,4.0,4.0,4.0,10000000.0
BRASÍLIA - LAGO NORTE,66,1.0,1.0,2.0,580000.0
BRASÍLIA - ASA SUL,178,3.0,1.0,1.0,2500000.0
BRASÍLIA - ASA NORTE,117,3.0,1.0,1.0,1550000.0
BRASÍLIA - NOROESTE,246,4.0,4.0,4.0,4190000.0
BRASÍLIA - ASA SUL,100,3.0,1.0,1.0,1320000.0
BRASÍLIA - NOROESTE,404,4.0,4.0,4.0,5851495.0
BRASÍLIA - PARK SUL,116,2.0,2.0,1.0,1850000.0
BRASÍLIA - ASA SUL,178,3.0,1.0,1.0,2200000.0
BRASÍLIA - NOROESTE,113,3.0,1.0,2.0,2156000.0
BRASÍLIA - ASA NORTE,168,4.0,1.0,1.0,2099000.0
BRASÍLIA - LAGO NORTE,71,2.0,1.0,1.0,990000.0
BRASÍLIA - NOROESTE,262,4.0,3.0,3.0,3690000.0
BRASÍLIA - NOROESTE,204,3.0,3.0,4.0,3490000.0
BRASÍLIA - NOROESTE,205,3.0,3.0,4.0,4500000.0
BRASÍLIA - NOROESTE,205,3.0,3.0,4.0,3575000.0
BRASÍLIA - NOROESTE,113,3.0,1.0,2.0,2127659.0
BRASÍLIA - ASA NORTE,123,3.0,1.0,1.0,1660000.0
BRASÍLIA - NOROESTE,262,4.0,3.0,3.0,3690000.0
BRASÍLIA - ASA SUL,136,3.0,1.0,1.0,1450000.0
BRASÍLIA - SUDOESTE,126,3.0,3.0,2.0,2310000.0
BRASÍLIA - NOROESTE,214,4.0,4.0,4.0,3290000.0
BRASÍLIA - NOROESTE,166,3.0,3.0,3.0,3140000.0
BRASÍLIA - NOROESTE,175,3.0,1.0,3.0,2444000.0
BRASÍLIA - SUDOESTE,305,4.0,3.0,4.0,4500000.0
BRASÍLIA - ASA NORTE,93,2.0,1.0,1.0,1890000.0
BRASÍLIA - NOROESTE,110,3.0,1.0,2.0,1780000.0
BRASÍLIA - ASA SUL,120,3.0,1.0,1.0,1560000.0
BRASÍLIA - ASA SUL,154,4.0,1.0,1.0,1495000.0
BRASÍLIA - NOROESTE,165,4.0,4.0,3.0,2460000.0
BRASÍLIA - NOROESTE,88,3.0,1.0,2.0,1583395.0
BRASÍLIA - ASA NORTE,78,3.0,1.0,1.0,920000.0
BRASÍLIA - ASA NORTE,135,3.0,2.0,1.0,1760000.0
BRASÍLIA - ASA SUL,148,4.0,1.0,1.0,2250000.0
BRASÍLIA - NOROESTE,110,3.0,1.0,2.0,1795000.0
BRASÍLIA - ASA NORTE,169,2.0,2.0,2.0,2100000.0
BRASÍLIA - ASA SUL,90,2.0,1.0,1.0,1100000.0
BRASÍLIA - NOROESTE,86,2.0,1.0,2.0,1670000.0
BRASÍLIA - PARK SUL,147,4.0,2.0,3.0,2319521.0
BRASÍLIA - SUDOESTE,173,3.0,3.0,4.0,2599000.0
BRASÍLIA - NOROESTE,310,3.0,3.0,4.0,5500000.0
BRASÍLIA - NOROESTE,77,2.0,1.0,1.0,1429489.0
BRASÍLIA - PARK SUL,26,1.0,2.0,1.0,417114.0
BRASÍLIA - PARK SUL,26,1.0,2.0,1.0,417500.0
BRASÍLIA - NOROESTE,35,1.0,1.0,1.0,589000.0
BRASÍLIA - NOROESTE,169,2.0,1.0,3.0,2100000.0
BRASÍLIA - SUDOESTE,172,4.0,4.0,3.0,3250000.0
BRASÍLIA - SUDOESTE,210,4.0,4.0,4.0,4300000.0
BRASÍLIA - ASA SUL,114,3.0,1.0,1.0,1430000.0
BRASÍLIA - PARK SUL,104,3.0,1.0,2.0,1752260.0
BRASÍLIA - ASA SUL,160,3.0,1.0,1.0,1550000.0
BRASÍLIA - PARK SUL,79,3.0,1.0,2.0,1200000.0
BRASÍLIA - NOROESTE,38,1.0,1.0,2.0,490000.0
BRASÍLIA - NOROESTE,71,2.0,2.0,2.0,1480000.0
BRASÍLIA - NOROESTE,68,2.0,2.0,3.0,1250000.0
BRASÍLIA - NOROESTE,56,2.0,3.0,2.0,900000.0
BRASÍLIA - ASA SUL,157,3.0,1.0,1.0,2800000.0
BRASÍLIA - LAGO NORTE,75,2.0,2.0,2.0,930000.0
BRASÍLIA - ASA NORTE,122,3.0,1.0,1.0,1840000.0
BRASÍLIA - ASA NORTE,98,3.0,1.0,2.0,1885392.0
BRASÍLIA - SUDOESTE,173,3.0,2.0,2.0,1990000.0
BRASÍLIA - PARK SUL,203,4.0,4.0,4.0,3850000.0
BRASÍLIA - ASA NORTE,137,3.0,1.0,1.0,1630000.0
BRASÍLIA - NOROESTE,153,4.0,4.0,3.0,2871998.0
BRASÍLIA - NOROESTE,84,2.0,1.0,2.0,1340000.0
BRASÍLIA - NOROESTE,303,3.0,3.0,4.0,6000000.0
BRASÍLIA - ASA SUL,92,3.0,1.0,1.0,1650000.0
BRASÍLIA - NOROESTE,404,4.0,4.0,4.0,5851495.0
BRASÍLIA - ASA SUL,300,4.0,2.0,2.0,4090000.0
BRASÍLIA - NOROESTE,145,3.0,3.0,3.0,2890000.0
BRASÍLIA - LAGO NORTE,40,1.0,1.0,1.0,470000.0
BRASÍLIA - ASA NORTE,110,3.0,1.0,2.0,1690000.0
BRASÍLIA - NOROESTE,273,4.0,4.0,4.0,4500000.0
BRASÍLIA - SUDOESTE,249,4.0,4.0,4.0,5700000.0
BRASÍLIA - NOROESTE,56,2.0,3.0,2.0,900000.0
BRASÍLIA - ASA NORTE,127,3.0,1.0,1.0,1700000.0
BRASÍLIA - PARK SUL,86,2.0,2.0,2.0,1394977.0
BRASÍLIA - ASA SUL,154,3.0,1.0,1.0,2249000.0
BRASÍLIA - NOROESTE,69,2.0,2.0,2.0,1140000.0
BRASÍLIA - SUDOESTE,159,4.0,2.0,1.0,2195000.0
BRASÍLIA - NOROESTE,118,3.0,2.0,2.0,2099000.0
BRASÍLIA - ASA SUL,115,2.0,2.0,1.0,2499999.0
BRASÍLIA - ASA NORTE,97,3.0,1.0,1.0,1350000.0
BRASÍLIA - PARK SUL,70,2.0,1.0,1.0,1270000.0
BRASÍLIA - NOROESTE,406,4.0,4.0,5.0,5350000.0
BRASÍLIA - PARK SUL,26,1.0,2.0,1.0,460000.0
BRASÍLIA - ASA NORTE,100,3.0,1.0,1.0,1490000.0
BRASÍLIA - NOROESTE,73,3.0,3.0,3.0,1979473.0
BRASÍLIA - NOROESTE,202,2.0,1.0,2.0,2880000.0
BRASÍLIA - PARK SUL,85,2.0,2.0,2.0,1361147.0
